,level_0,index,date,game_name,max_draw_bookie,max_away_bookie,max_home_bookie,home_odds,draw_odds,away_odds,home_odds_max,away_odds_max,draw_odds_max,bet_result
0,0,0,2021-12-04,Aldershot - Altrincham,1xBet,Asianodds,Asianodds,1.4866666666666668,2.32,1.7413333333333334,1.6000000000000003,1.8799999999999992,2.5,0
1,1,1,2021-12-04,Barnet - Maidenhead,10x10bet,Asianodds,Coolbet,0.8539999999999999,2.7239999999999998,2.845333333333333,0.9499999999999997,3.100000000000001,2.899999999999999,1
2,2,2,2021-12-04,Bromley - Wealdstone,bwin,10x10bet,10x10bet,0.48333333333333334,3.354,5.09,0.5199999999999998,5.5,3.600000000000001,0
3,3,3,2021-12-04,Dag & Red - Grimsby,10x10bet,Coolbet,Asianodds,1.7800000000000002,2.3506666666666667,1.4380000000000002,1.93,1.5500000000000005,2.45,2
4,4,4,2021-12-04,Dover - Wrexham,bet365,Unibet,Coolbet,7.569999999999999,3.949333333333334,0.334,9.0,0.37000000000000005,4.25,2
5,5,5,2021-12-04,Solihull Moors - Woking,bwin,Unibet,Pinnacle,1.4146666666666665,2.2493333333333334,1.8933333333333335,1.5100000000000005,2.0500000000000003,2.3999999999999995,0
6,6,6,2021-12-04,Weymouth - Torquay,Coolbet,10x10bet,Asianodds,2.4226666666666663,2.5613333333333332,1.02,2.579999999999999,1.0800000000000003,2.75,0
