,date,game_name,home,away,bookie,home_odds,draw_odds,away_odds,winner
0,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,10x10bet,8.6,4.3,0.33,
1,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,1xBet,8.0,4.25,0.3,
2,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Asianodds,9.12,4.58,0.34,
3,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,bet-at-home,7.2,4.2,0.31,
4,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,,8.0,4.25,0.33,
5,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Betsensation,8.7,4.4,0.33,
6,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,bwin,7.0,4.0,0.35,
7,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Coolbet,8.8,4.5,0.34,
8,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Curebet,8.5,4.3,0.32,
9,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,GGBET,7.2,4.28,0.33,
10,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Lasbet,8.8,4.4,0.34,
11,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Marathonbet,8.2,4.45,0.32,
12,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Pinnacle,8.9,4.49,0.34,
13,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,Unibet,8.0,4.1,0.33,
14,"Today, 05 Dec  2021, 12:00",Dundee Utd - Celtic,Dundee Utd,Celtic,William Hill,8.0,3.75,0.32,
15,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,10x10bet,2.17,2.66,1.19,
16,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,,2.16,2.62,1.18,
17,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Asianodds,2.19,2.64,1.23,
18,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,bet-at-home,2.0,2.35,1.15,
19,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,,2.2,2.5,1.2,
20,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Betsensation,2.21,2.72,1.22,
21,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,bwin,2.1,2.2,1.05,
22,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Coolbet,2.25,2.6,1.2,
23,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Curebet,2.17,2.66,1.19,
24,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,GGBET,2.1,2.59,1.16,
25,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Lasbet,2.2,2.7,1.21,
26,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Marathonbet,2.18,2.64,1.17,
27,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Pinnacle,2.19,2.64,1.19,
28,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,Unibet,2.3,2.6,1.1,
29,"Today, 05 Dec  2021, 12:15",Rochdale - Plymouth,Rochdale,Plymouth,William Hill,2.1,2.4,1.2,
30,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,10x10bet,3.8,2.55,0.8,
31,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,1xBet,3.38,2.64,0.84,
32,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Asianodds,4.12,2.6,0.77,
33,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,bet-at-home,3.4,2.6,0.77,
34,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,bet365,3.75,2.6,0.72,
35,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Betsensation,3.9,2.62,0.82,
36,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,bwin,3.33,2.5,0.68,
37,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Coolbet,3.75,2.75,0.78,
38,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Curebet,3.8,2.55,0.8,
39,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,GGBET,3.42,2.6,0.78,
40,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Lasbet,3.9,2.59,0.81,
41,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Marathonbet,3.55,2.68,0.79,
42,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Pinnacle,3.89,2.6,0.77,
43,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,Unibet,3.95,2.7,0.72,
44,"Today, 05 Dec  2021, 12:30",Colchester - Wigan,Colchester,Wigan,William Hill,3.8,2.5,0.72,
45,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,10x10bet,1.01,2.45,3.1,
46,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,1xBet,1.05,2.54,3.08,
47,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Asianodds,1.01,2.52,3.13,
48,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,bet-at-home,0.97,2.35,2.9,
49,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,bet365,0.9,2.5,3.0,
50,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Betsensation,1.02,2.47,3.2,
51,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,bwin,0.95,2.25,3.2,
52,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Coolbet,1.04,2.5,3.1,
53,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Curebet,1.01,2.45,3.1,
54,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,GGBET,0.98,2.55,3.1,
55,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Lasbet,1.02,2.47,3.2,
56,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Marathonbet,1.03,2.52,3.05,
57,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Pinnacle,1.01,2.48,3.2,
58,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,Unibet,1.0,2.5,3.1,
59,"Today, 05 Dec  2021, 14:00",Leeds - Brentford,Leeds,Brentford,William Hill,0.95,2.5,2.8,
60,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,10x10bet,0.54,3.4,5.3,
61,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,1xBet,0.59,3.48,5.15,
62,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Asianodds,0.56,3.51,5.68,
63,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,bet-at-home,0.54,3.3,4.6,
64,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,bet365,0.5,3.33,5.5,
65,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Betsensation,0.55,3.5,5.4,
66,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,bwin,0.55,3.2,4.75,
67,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Coolbet,0.57,3.46,5.3,
68,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Curebet,0.54,3.4,5.3,
69,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,GGBET,0.56,3.34,5.32,
70,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Lasbet,0.55,3.5,5.4,
71,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Marathonbet,0.55,3.55,5.25,
72,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Pinnacle,0.54,3.5,5.42,
73,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,Unibet,0.56,3.35,5.5,
74,"Today, 05 Dec  2021, 14:00",Manchester Utd - Crystal Palace,Manchester Utd,Crystal Palace,William Hill,0.55,3.0,5.0,
75,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,10x10bet,0.41,4.0,7.2,
76,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,1xBet,0.45,3.84,7.2,
77,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Asianodds,0.43,4.03,7.64,
78,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,bet-at-home,0.37,3.9,6.8,
79,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,bet365,0.4,3.75,7.0,
80,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Betsensation,0.42,4.1,7.4,
81,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,bwin,0.4,3.75,6.75,
82,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Coolbet,0.44,4.05,6.85,
83,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Curebet,0.41,4.0,7.2,
84,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,GGBET,0.42,3.93,7.08,
85,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Lasbet,0.42,4.1,7.4,
86,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Marathonbet,0.42,3.9,7.6,
87,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Pinnacle,0.41,4.03,7.5,
88,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,Unibet,0.4,4.1,7.5,
89,"Today, 05 Dec  2021, 14:00",Tottenham - Norwich,Tottenham,Norwich,William Hill,0.4,3.5,7.0,
90,"Today, 05 Dec  2021, 14:00",Arsenal W - Chelsea W,Arsenal W,Chelsea W,10x10bet,2.75,2.8,0.94,
91,"Today, 05 Dec  2021, 14:00",Arsenal W - Chelsea W,Arsenal W,Chelsea W,1xBet,2.82,2.88,0.8,
92,"Today, 05 Dec  2021, 14:00",Arsenal W - Chelsea W,Arsenal W,Chelsea W,Asianodds,2.72,2.74,0.89,
93,"Today, 05 Dec  2021, 14:00",Arsenal W - Chelsea W,Arsenal W,Chelsea W,bet-at-home,2.25,2.45,0.87,
94,"Today, 05 Dec  2021, 14:00",Arsenal W - Chelsea W,Arsenal W,Chelsea W,Betsensation,2.53,2.58,0.86,
95,"Today, 05 Dec  2021, 14:00",Arsenal W - Chelsea W,Arsenal W,Chelsea W,Curebet,2.73,2.78,0.93,
96,"Today, 05 Dec  2021, 14:00",Arsenal W - Chelsea W,Arsenal W,Chelsea W,GGBET,2.82,2.83,0.85,
97,"Today, 05 Dec  2021, 14:00",Arsenal W - Chelsea W,Arsenal W,Chelsea W,Lasbet,2.53,2.58,0.86,
98,"Today, 05 Dec  2021, 14:00",Arsenal W - Chelsea W,Arsenal W,Chelsea W,Marathonbet,2.98,2.82,0.76,
99,"Today, 05 Dec  2021, 14:00",Arsenal W - Chelsea W,Arsenal W,Chelsea W,Pinnacle,2.72,2.74,0.89,
100,"Today, 05 Dec  2021, 14:00",Arsenal W - Chelsea W,Arsenal W,Chelsea W,Unibet,2.25,2.6,0.9,
101,"Today, 05 Dec  2021, 14:00",Arsenal W - Chelsea W,Arsenal W,Chelsea W,William Hill,2.5,2.4,0.88,
102,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,10x10bet,1.27,2.35,2.41,
103,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,1xBet,1.29,2.44,2.24,
104,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,Asianodds,1.3,2.33,2.46,
105,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,bet-at-home,1.23,2.2,2.25,
106,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,,1.25,2.2,2.4,
107,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,Betsensation,1.29,2.39,2.47,
108,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,bwin,1.3,2.25,2.2,
109,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,Coolbet,1.34,2.32,2.32,
110,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,Curebet,1.24,2.3,2.37,
111,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,GGBET,1.23,2.37,2.27,
112,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,Lasbet,1.26,2.33,2.41,
113,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,Marathonbet,1.25,2.42,2.32,
114,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,Pinnacle,1.28,2.33,2.46,
115,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,Unibet,1.2,2.35,2.5,
116,"Today, 05 Dec  2021, 14:30",QPR - Stoke,QPR,Stoke,William Hill,1.3,2.2,2.1,
117,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,10x10bet,3.1,2.33,1.0,
118,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,1xBet,2.84,2.4,1.03,
119,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,Asianodds,3.11,2.42,1.04,
120,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,bet-at-home,2.8,2.2,0.97,
121,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,bet365,2.6,2.5,1.0,
122,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,Betsensation,3.1,2.34,1.01,
123,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,bwin,2.6,2.3,1.0,
124,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,Coolbet,2.8,2.4,1.1,
125,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,Curebet,3.1,2.31,1.0,
126,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,GGBET,2.86,2.32,0.98,
127,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,Lasbet,3.1,2.36,1.02,
128,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,Marathonbet,2.88,2.4,1.01,
129,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,Pinnacle,3.11,2.39,1.04,
130,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,Unibet,3.0,2.2,1.0,
131,"Today, 05 Dec  2021, 15:00",Livingston - Hearts,Livingston,Hearts,William Hill,2.8,2.2,1.0,
