,level_0,index,date,game_name,max_draw_bookie,max_away_bookie,max_home_bookie,home_odds,draw_odds,away_odds,home_odds_max,away_odds_max,draw_odds_max,bet_result
0,0,0,2021-12-05,Arsenal W - Chelsea W,1xBet,10x10bet,Marathonbet,2.6333333333333333,2.6833333333333336,0.8691666666666668,2.98,0.9399999999999996,2.8799999999999994,0
1,1,1,2021-12-05,Colchester - Wigan,Coolbet,1xBet,Asianodds,3.7159999999999997,2.6053333333333337,0.7713333333333333,4.119999999999999,0.84,2.75,0
2,2,2,2021-12-05,Dundee Utd - Celtic,Asianodds,bwin,Asianodds,8.201333333333334,4.283333333333333,0.32866666666666666,9.120000000000001,0.3499999999999999,4.579999999999999,2
3,3,3,2021-12-05,Leeds - Brentford,GGBET,Betsensation,1xBet,0.9966666666666666,2.4699999999999998,3.0840000000000005,1.0500000000000003,3.2000000000000006,2.55,0
4,4,4,2021-12-05,Livingston - Hearts,bet365,Coolbet,Asianodds,2.92,2.338,1.0133333333333332,3.11,1.0999999999999999,2.5,2
5,5,5,2021-12-05,Manchester Utd - Crystal Palace,Marathonbet,Asianodds,1xBet,0.55,3.388,5.257999999999999,0.59,5.6800000000000015,3.549999999999999,0
6,6,6,2021-12-05,QPR - Stoke,1xBet,Unibet,Coolbet,1.2686666666666668,2.318666666666667,2.3453333333333335,1.34,2.5,2.44,0
7,7,7,2021-12-05,Rochdale - Plymouth,Betsensation,Asianodds,Unibet,2.168,2.568,1.176,2.3,1.2300000000000002,2.7199999999999993,0
8,8,8,2021-12-05,Tottenham - Norwich,Betsensation,Asianodds,1xBet,0.4133333333333334,3.9320000000000004,7.208,0.4500000000000001,7.64,4.1000000000000005,0
