,level_0,index,date,game_name,max_draw_bookie,max_away_bookie,max_home_bookie,home_odds,draw_odds,away_odds,home_odds_max,away_odds_max,draw_odds_max,bet_result
0,0,0,2021-12-05,Arsenal W - Chelsea W,Marathonbet,10x10bet,Marathonbet,2.520833333333333,2.6141666666666667,0.9158333333333335,2.68,0.9800000000000003,2.75,0
1,1,1,2021-12-05,Colchester - Wigan,Betsensation,Unibet,Betsensation,4.243333333333333,2.7633333333333336,0.6766666666666666,4.6,0.7200000000000001,2.86,2
2,2,2,2021-12-05,Dundee Utd - Celtic,Asianodds,GGBET,Asianodds,7.789333333333333,3.9593333333333334,0.35733333333333334,8.450000000000001,0.37999999999999995,4.18,2
3,3,3,2021-12-05,Leeds - Brentford,bwin,10x10bet,Coolbet,0.9973333333333333,2.538,2.9926666666666666,1.0600000000000003,3.100000000000001,2.7000000000000006,1
4,4,4,2021-12-05,Livingston - Hearts,bet365,Coolbet,Asianodds,2.936666666666667,2.3466666666666662,1.0079999999999998,3.1199999999999997,1.0999999999999999,2.6000000000000005,2
5,5,5,2021-12-05,Manchester Utd - Crystal Palace,1xBet,Unibet,1xBet,0.5660000000000002,3.2760000000000002,5.251333333333333,0.59,5.75,3.4799999999999986,0
6,6,6,2021-12-05,QPR - Stoke,1xBet,Asianodds,Coolbet,1.278,2.3320000000000003,2.3073333333333332,1.3599999999999997,2.43,2.44,0
7,7,7,2021-12-05,Rochdale - Plymouth,Betsensation,Unibet,Betsensation,2.5913333333333335,2.6293333333333333,0.9920000000000002,2.75,1.0500000000000003,2.82,2
8,8,8,2021-12-05,Tottenham - Norwich,Asianodds,1xBet,Coolbet,0.40266666666666673,3.9946666666666673,7.429999999999999,0.42999999999999994,7.799999999999998,4.200000000000001,1
