,date,game_name,home,away,bookie,home_odds,draw_odds,away_odds,winner
40,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,Lasbet,1.2,2.17,2.76,
41,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,Marathonbet,1.14,2.42,2.44,
42,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,Pinnacle,1.2,2.14,2.7,
43,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,Unibet,1.1,2.35,2.5,
44,"Today, 04 Dec  2021, 15:00",Burton - Port Vale,Burton,Port Vale,William Hill,1.05,2.5,2.4,
45,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,10x10bet,1.63,2.25,1.8,
46,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,1xBet,1.5,2.56,1.71,
47,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Asianodds,1.67,2.25,1.82,
48,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,bet-at-home,1.46,2.2,1.7,
49,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,bet365,1.62,2.4,1.62,
50,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Betsensation,1.67,2.3,1.84,
51,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,bwin,1.5,2.2,1.5,
52,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Coolbet,1.55,2.5,1.75,
53,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Curebet,1.63,2.25,1.8,
54,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,GGBET,1.46,2.55,1.65,
55,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Lasbet,1.66,2.28,1.83,
56,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Marathonbet,1.5,2.56,1.71,
57,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Pinnacle,1.66,2.25,1.77,
58,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,Unibet,1.5,2.45,1.7,
59,"Today, 04 Dec  2021, 15:00",Cambridge Utd - Exeter,Cambridge Utd,Exeter,William Hill,1.5,2.4,1.7,
60,"Today, 04 Dec  2021, 15:00",Carlisle - Shrewsbury,Carlisle,Shrewsbury,10x10bet,2.14,2.0,1.55,
