,level_0,index,date,game_name,max_draw_bookie,max_away_bookie,max_home_bookie,home_odds,draw_odds,away_odds,home_odds_max,away_odds_max,draw_odds_max,bet_result
0,0,0,2021-11-04,Aldershot - Altrincham,1xBet,Asianodds,Asianodds,1.4893333333333334,2.3486666666666665,1.7226666666666672,1.6200000000000008,1.8500000000000005,2.5,0
1,1,1,2021-11-04,Barnet - Maidenhead,10x10bet,Asianodds,Coolbet,0.8539999999999999,2.718666666666666,2.8399999999999994,0.9499999999999997,3.100000000000001,2.899999999999999,1
2,2,2,2021-11-04,Bromley - Wealdstone,Coolbet,Coolbet,Asianodds,0.47333333333333333,3.4086666666666665,5.166666666666667,0.5099999999999999,5.75,3.75,0
3,3,3,2021-11-04,Dag & Red - Grimsby,10x10bet,Coolbet,Asianodds,1.776666666666667,2.3513333333333333,1.4413333333333334,1.93,1.5500000000000005,2.45,0
4,4,4,2021-11-04,Dover - Wrexham,bet365,Unibet,Coolbet,7.569999999999999,3.949333333333334,0.334,9.0,0.37000000000000005,4.25,2
5,5,5,2021-11-04,Solihull Moors - Woking,bwin,Unibet,Pinnacle,1.4146666666666665,2.2493333333333334,1.8933333333333335,1.5100000000000005,2.0500000000000003,2.3999999999999995,0
6,6,6,2021-11-04,Weymouth - Torquay,Coolbet,10x10bet,Asianodds,2.4379999999999997,2.561333333333333,1.0166666666666666,2.68,1.0800000000000003,2.75,0
